
="",="Assurance maladie",="Retraite",="Alloc familiales",="Alloc chomages"

="Indépendant",="-0.0122",="-0.0827",="-0.00442",="-0.0316"
="",="(-0.22)",="(-1.47)",="(-0.08)",="(-0.54)"

="CDI à temps plein",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"

="Contrat précaire",="0.100*",="0.0137",="0.121*",="0.0950"
="",="(2.04)",="(0.27)",="(2.34)",="(1.88)"

="chomeur",="0.0805",="0.0167",="0.244**",="0.190*"
="",="(0.96)",="(0.20)",="(2.76)",="(2.21)"

="retraité",="-0.0165",="-0.0174",="0.0104",="-0.00631"
="",="(-0.28)",="(-0.29)",="(0.17)",="(-0.10)"

="Autre inactif",="0.0834",="0.0313",="0.181***",="0.124*"
="",="(1.61)",="(0.59)",="(3.32)",="(2.31)"

="18 à 24 ans",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"

="25 à 34 ans",="0.0845",="0.116",="0.236***",="0.233***"
="",="(1.39)",="(1.86)",="(3.65)",="(3.68)"

="35 à 49 ans",="0.000353",="-0.0283",="0.0558",="0.0717"
="",="(0.01)",="(-0.49)",="(0.93)",="(1.21)"

="50 à 64 ans",="-0.00197",="0.0894",="0.0810",="0.0934"
="",="(-0.03)",="(1.53)",="(1.33)",="(1.57)"

="65 ans et +",="0.0997",="0.107",="0.0538",="0.0680"
="",="(1.36)",="(1.43)",="(0.69)",="(0.89)"

="Homme",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"

="Femme",="0.00251",="0.0415",="0.0175",="0.0313"
="",="(0.09)",="(1.43)",="(0.58)",="(1.06)"

="SDNIVIE. Quintiles de niveau de vie mensuel imputé=1",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"

="SDNIVIE. Quintiles de niveau de vie mensuel imputé=2",="-0.0589",="-0.0281",="-0.158***",="-0.107*"
="",="(-1.29)",="(-0.61)",="(-3.30)",="(-2.27)"

="SDNIVIE. Quintiles de niveau de vie mensuel imputé=3",="-0.0469",="-0.00200",="-0.200***",="-0.129**"
="",="(-1.01)",="(-0.04)",="(-4.06)",="(-2.67)"

="SDNIVIE. Quintiles de niveau de vie mensuel imputé=4",="-0.0725",="-0.0213",="-0.226***",="-0.176***"
="",="(-1.55)",="(-0.45)",="(-4.58)",="(-3.62)"

="SDNIVIE. Quintiles de niveau de vie mensuel imputé=5",="-0.123**",="-0.101*",="-0.354***",="-0.223***"
="",="(-2.59)",="(-2.08)",="(-7.04)",="(-4.51)"

="Questionnaire A",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"

="Questionnaire B",="-1.669***",="-1.599***",="-1.453***",="-1.505***"
="",="(-42.23)",="(-39.65)",="(-34.58)",="(-36.43)"

="Questionnaire C",="0.0194",="0.100*",="0.0386",="0.0758"
="",="(0.49)",="(2.50)",="(0.92)",="(1.84)"

="Questionnaire D",="-1.183***",="-0.880***",="-1.082***",="-1.029***"
="",="(-29.96)",="(-21.88)",="(-25.82)",="(-25.02)"

="Constant",="3.367***",="3.397***",="3.073***",="3.117***"
="",="(48.20)",="(47.45)",="(41.36)",="(42.86)"

="Observations",="3911",="3866",="3800",="3822"
="r2",="0.421",="0.387",="0.358",="0.369"
="pr2",="",="",="",=""

="t statistics in parentheses"
="Source: Baromètre Drees BVA 2020"
="* p<0.05, ** p<0.01, *** p<0.001"
