
="",="Assurance maladie",="Retraite",="Alloc familiales",="Alloc chomages"

="main",="",="",="",=""
="inf bac",="1",="1",="1",="1"
="",="(.)",="(.)",="(.)",="(.)"

="bac",="0.820",="0.861",="0.742",="0.733"
="",="(-1.24)",="(-0.88)",="(-1.87)",="(-1.95)"

="sup bac",="1.005",="0.763",="0.868",="0.850"
="",="(0.03)",="(-1.76)",="(-0.96)",="(-1.11)"

="18 à 24 ans",="1",="1",="1",="1"
="",="(.)",="(.)",="(.)",="(.)"

="25 à 34 ans",="1.072",="1.218",="1.352*",="1.414**"
="",="(0.55)",="(1.54)",="(2.42)",="(2.77)"

="35 à 49 ans",="0.935",="0.907",="0.933",="1.032"
="",="(-0.59)",="(-0.84)",="(-0.61)",="(0.27)"

="50 à 64 ans",="0.929",="1.141",="1.008",="1.085"
="",="(-0.63)",="(1.11)",="(0.07)",="(0.70)"

="65 ans et +",="1.113",="1.201",="0.930",="0.995"
="",="(0.89)",="(1.48)",="(-0.60)",="(-0.04)"

="Homme",="1",="1",="1",="1"
="",="(.)",="(.)",="(.)",="(.)"

="Femme",="1.041",="1.128",="1.069",="1.100"
="",="(0.64)",="(1.91)",="(1.08)",="(1.54)"

="Quintiles niveau de vie",="0.915***",="0.944*",="0.817***",="0.867***"
="",="(-3.69)",="(-2.34)",="(-8.34)",="(-5.89)"

="Questionnaire A # inf bac",="1",="1",="1",="1"
="",="(.)",="(.)",="(.)",="(.)"

="Questionnaire A # bac",="1",="1",="1",="1"
="",="(.)",="(.)",="(.)",="(.)"

="Questionnaire A # sup bac",="1",="1",="1",="1"
="",="(.)",="(.)",="(.)",="(.)"

="Questionnaire B # inf bac",="1",="1",="1",="1"
="",="(.)",="(.)",="(.)",="(.)"

="Questionnaire B # bac",="1.596*",="1.480",="1.735*",="1.922**"
="",="(2.11)",="(1.73)",="(2.42)",="(2.91)"

="Questionnaire B # sup bac",="1.606*",="2.116***",="1.962**",="2.155***"
="",="(2.34)",="(3.69)",="(3.29)",="(3.77)"

="Questionnaire C # inf bac",="1",="1",="1",="1"
="",="(.)",="(.)",="(.)",="(.)"

="Questionnaire C # bac",="0.995",="0.782",="1.360",="1.760*"
="",="(-0.02)",="(-1.02)",="(1.37)",="(2.51)"

="Questionnaire C # sup bac",="1.032",="1.252",="1.224",="1.378"
="",="(0.15)",="(1.05)",="(1.02)",="(1.61)"

="Questionnaire D # inf bac",="1",="1",="1",="1"
="",="(.)",="(.)",="(.)",="(.)"

="Questionnaire D # bac",="1.313",="1.024",="1.331",="1.388"
="",="(1.24)",="(0.10)",="(1.29)",="(1.48)"

="Questionnaire D # sup bac",="0.994",="1.120",="1.371",="1.318"
="",="(-0.03)",="(0.57)",="(1.63)",="(1.43)"

="Questionnaire A",="1",="1",="1",="1"
="",="(.)",="(.)",="(.)",="(.)"

="Questionnaire B",="0.0279***",="0.0326***",="0.0403***",="0.0343***"
="",="(-24.56)",="(-23.43)",="(-22.18)",="(-23.26)"

="Questionnaire C",="1.037",="1.250",="0.931",="0.896"
="",="(0.26)",="(1.50)",="(-0.53)",="(-0.81)"

="Questionnaire D",="0.0929***",="0.162***",="0.113***",="0.120***"
="",="(-17.15)",="(-13.03)",="(-16.07)",="(-15.79)"

="/",="",="",="",=""
="cut1",="0.0302***",="0.0353***",="0.0419***",="0.0430***"
="",="(-22.25)",="(-20.78)",="(-20.39)",="(-20.41)"

="cut2",="0.130***",="0.114***",="0.198***",="0.195***"
="",="(-13.55)",="(-13.95)",="(-10.88)",="(-11.05)"

="cut3",="0.596***",="0.563***",="0.733*",="0.826"
="",="(-3.55)",="(-3.81)",="(-2.13)",="(-1.32)"

="Observations",="3910",="3865",="3798",="3821"
="r2_p",="0.180",="0.167",="0.149",="0.155"
="ll",="-4402.8",="-4278.0",="-4458.0",="-4475.8"
="converged",="1",="1",="1",="1"

="Exponentiated coefficients; t statistics in parentheses"
="Source: Baromètre Drees BVA 2020"
="* p<0.05, ** p<0.01, *** p<0.001"
